length,population_size,tournaments,elitism_rate,mutation_rate
8143,100,5,40,70
8144,150,6,20,30
8147,100,7,10,50
8151,100,8,10,40
8151,150,2,10,50
8155,100,2,90,70
8156,100,5,50,50
8157,100,2,20,30
8157,100,5,80,10
8158,100,7,40,20
8160,100,7,50,20
8160,150,3,40,80
8162,100,6,80,90
8163,100,2,80,50
8166,100,3,20,90
8169,150,4,30,20
8171,150,4,60,30
8176,100,3,90,30
8176,150,5,80,30
8179,100,2,10,30
8179,100,6,50,20
8179,150,5,30,80
8188,100,9,70,90
8191,150,6,20,70
8193,100,6,40,60
8194,150,4,90,40
8195,100,5,10,50
8195,150,5,90,50
8197,100,7,20,80
8199,150,5,80,50
8200,100,5,40,30
8204,100,5,20,80
8204,100,7,40,70
8205,150,8,40,80
8213,100,5,70,40
8213,100,7,20,30
8213,150,5,70,50
8215,150,7,60,90
8216,150,6,60,50
8222,100,8,20,50
8223,100,2,70,90
8226,100,8,40,30
8226,150,7,40,70
8230,150,9,60,70
8232,100,6,50,70
8235,150,9,10,30
8239,150,9,10,50
8242,150,7,20,80
8243,100,4,90,30
8246,100,2,20,50
8247,150,9,20,90
8250,150,6,40,40
8255,150,7,10,60
8257,150,3,40,10
8258,150,7,10,30
8263,150,7,90,40
8270,150,5,20,60
8275,100,7,30,80
8277,150,2,80,90
8279,100,3,80,90
8284,150,6,90,50
8287,150,5,30,90
8291,100,3,30,40
8294,100,3,10,90
8295,100,5,60,50
8299,150,4,30,30
8300,100,5,50,10
8300,150,3,50,20
8302,150,2,30,50
8302,150,4,80,10
8303,100,8,30,90
8306,150,3,20,60
8314,100,3,70,20
8316,100,5,60,10
8318,150,9,40,80
8320,100,4,10,20
8321,100,9,20,60
8325,150,5,60,50
8326,150,9,60,80
8327,100,9,40,10
8329,100,8,20,80
8329,150,5,50,90
8331,100,4,30,30
8331,150,6,40,70
8338,100,2,30,70
8349,100,9,30,40
8353,100,9,60,40
8357,100,7,50,10
8359,150,6,20,50
8361,100,6,70,70
8366,150,2,90,50
8372,100,5,90,20
8372,150,3,90,40
8379,100,2,80,30
8379,150,5,10,30
8383,150,3,70,70
8385,100,6,50,90
8386,150,4,90,70
8386,150,9,50,70
8390,150,7,80,20
8392,150,2,70,30
8393,150,4,90,90
8394,150,2,50,50
8395,150,9,90,30
8403,100,8,10,30
8403,150,9,40,50
8405,150,7,10,40
8406,100,3,80,80
8407,100,9,90,20
8408,100,3,60,80
8415,100,6,20,20
8422,150,9,80,90
8426,100,2,50,50
8427,100,8,70,20
8429,100,2,80,20
8431,150,4,30,70
8432,100,2,50,70
8437,150,4,50,30
8442,100,2,60,10
8444,100,2,90,60
8445,150,9,10,60
8446,100,9,10,50
8446,150,7,80,50
8447,150,8,10,40
8461,100,9,30,10
8465,100,9,50,40
8470,150,9,90,50
8471,150,3,70,30
8473,100,5,70,30
8473,150,3,30,80
8474,100,8,90,70
8474,150,4,90,20
8480,100,4,20,50
8482,150,2,40,50
8486,150,9,70,40
8487,100,9,70,10
8490,100,2,10,60
8491,150,5,90,60
8495,100,5,20,30
8497,100,7,50,90
8503,150,6,50,90
8508,100,6,30,20
8510,100,8,30,40
8510,150,9,50,90
8515,100,3,90,50
8516,100,2,70,70
8519,100,8,80,20
8522,100,3,80,40
8527,100,5,30,80
8527,150,3,50,50
8529,100,9,70,70
8530,100,3,80,30
8530,100,6,30,80
8533,100,2,40,40
8533,100,8,40,60
8537,150,4,70,20
8539,150,9,30,10
8542,100,9,30,30
8544,150,6,20,80
8552,100,2,50,30
8554,150,7,30,50
8555,150,7,90,10
8562,100,2,10,80
8562,150,7,50,50
8567,150,2,30,80
8577,150,6,40,90
8611,100,9,10,10
